Generating cavity-enhanced TMSV data
    N=14 (7/20) [41.7s] dt_min=0.0001352796
    N=16 (8/20) [58.1s] dt_min=0.0001192213
    N=18 (9/20) [78.6s] dt_min=0.0001065312
    N=20 (10/20) [105.0s] dt_min=9.634701e-05
    N=22 (11/20) [138.0s] dt_min=8.792674e-05
    N=24 (12/20) [178.0s] dt_min=8.083232e-05
    N=26 (13/20) [225.2s] dt_min=7.482846e-05
    N=28 (14/20) [279.6s] dt_min=6.967185e-05
    N=30 (15/20) [342.6s] dt_min=6.515141e-05
    N=32 (16/20) [415.4s] dt_min=6.125855e-05
    N=34 (17/20) [488.6s] dt_min=5.798276e-05
    N=36 (18/20) [561.0s] dt_min=5.509614e-05
    N=38 (19/20) [634.0s] dt_min=5.255324e-05
    N=40 (20/20) [709.3s] dt_min=5.030589e-05
  ℱ=50 total: 709.3s (11.8m)
  Sweeping ℱ=100 (7/10)
    N=2 (1/20) [1.4s] dt_min=0.0003617901
    N=4 (2/20) [4.5s] dt_min=0.0002094987
    N=6 (3/20) [12.8s] dt_min=0.0001473712
    N=8 (4/20) [16.6s] dt_min=0.0001136995
    N=10 (5/20) [22.5s] dt_min=9.261008e-05
    N=12 (6/20) [32.6s] dt_min=7.814554e-05
    N=14 (7/20) [44.4s] dt_min=6.765508e-05
    N=16 (8/20) [60.4s] dt_min=5.962801e-05
    N=18 (9/20) [80.6s] dt_min=5.328505e-05
    N=20 (10/20) [107.1s] dt_min=4.819505e-05
    N=22 (11/20) [140.7s] dt_min=4.398697e-05
    N=24 (12/20) [182.3s] dt_min=4.044188e-05
    N=26 (13/20) [227.9s] dt_min=3.744202e-05
    N=28 (14/20) [283.9s] dt_min=3.486579e-05
    N=30 (15/20) [347.8s] dt_min=3.26077e-05
    N=32 (16/20) [422.0s] dt_min=3.066304e-05
    N=34 (17/20) [494.1s] dt_min=2.902621e-05
    N=36 (18/20) [566.1s] dt_min=2.758389e-05
    N=38 (19/20) [638.3s] dt_min=2.631329e-05
    N=40 (20/20) [713.6s] dt_min=2.519034e-05
  ℱ=100 total: 713.6s (11.9m)
  Sweeping ℱ=200 (8/10)
    N=2 (1/20) [1.2s] dt_min=0.000180901
    N=4 (2/20) [4.3s] dt_min=0.000104759
    N=6 (3/20) [12.3s] dt_min=7.369942e-05
    N=8 (4/20) [16.2s] dt_min=5.686776e-05
    N=10 (5/20) [22.3s] dt_min=4.632724e-05
    N=12 (6/20) [31.2s] dt_min=3.909913e-05
    N=14 (7/20) [44.0s] dt_min=3.385809e-05
    N=16 (8/20) [61.3s] dt_min=2.984875e-05
    N=18 (9/20) [83.1s] dt_min=2.668147e-05
    N=20 (10/20) [109.9s] dt_min=2.414062e-05
    N=22 (11/20) [141.3s] dt_min=2.204069e-05
    N=24 (12/20) [180.5s] dt_min=2.02724e-05
    N=26 (13/20) [226.2s] dt_min=1.877663e-05
    N=28 (14/20) [281.1s] dt_min=1.749266e-05
    N=30 (15/20) [346.6s] dt_min=1.636791e-05
    N=32 (16/20) [421.8s] dt_min=1.539913e-05
    N=34 (17/20) [495.7s] dt_min=1.458285e-05
    N=36 (18/20) [569.8s] dt_min=1.386371e-05
    N=38 (19/20) [649.7s] dt_min=1.323014e-05
    N=40 (20/20) [732.7s] dt_min=1.267014e-05
  ℱ=200 total: 732.7s (12.2m)
  Sweeping ℱ=500 (9/10)
    N=2 (1/20) [1.5s] dt_min=7.237707e-05
    N=4 (2/20) [5.6s] dt_min=4.193057e-05
    N=6 (3/20) [15.6s] dt_min=2.951849e-05
    N=8 (4/20) [19.6s] dt_min=2.279752e-05
    N=10 (5/20) [25.9s] dt_min=1.859308e-05
    N=12 (6/20) [34.4s] dt_min=1.571352e-05
    N=14 (7/20) [46.7s] dt_min=1.362884e-05
    N=16 (8/20) [63.6s] dt_min=1.20369e-05
    N=18 (9/20) [84.4s] dt_min=1.078188e-05
    N=20 (10/20) [110.4s] dt_min=9.777202e-06
    N=22 (11/20) [141.7s] dt_min=8.948666e-06
    N=24 (12/20) [184.1s] dt_min=8.253575e-06
    N=26 (13/20) [229.9s] dt_min=7.666961e-06
    N=28 (14/20) [286.9s] dt_min=7.164937e-06
    N=30 (15/20) [352.4s] dt_min=6.726852e-06
    N=32 (16/20) [437.0s] dt_min=6.350153e-06
    N=34 (17/20) [515.8s] dt_min=6.029699e-06
    N=36 (18/20) [591.4s] dt_min=5.748398e-06
    N=38 (19/20) [660.7s] dt_min=5.500475e-06
    N=40 (20/20) [732.6s] dt_min=5.281241e-06
  ℱ=500 total: 732.8s (12.2m)
  Sweeping ℱ=1000 (10/10)
    N=2 (1/20) [1.2s] dt_min=3.62183e-05
    N=4 (2/20) [4.3s] dt_min=2.101348e-05
    N=6 (3/20) [12.3s] dt_min=1.482844e-05
    N=8 (4/20) [15.8s] dt_min=1.148885e-05
    N=10 (5/20) [21.5s] dt_min=9.407777e-06
    N=12 (6/20) [30.4s] dt_min=7.989023e-06
    N=14 (7/20) [42.0s] dt_min=6.967769e-06
    N=16 (8/20) [58.2s] dt_min=6.192381e-06
    N=18 (9/20) [78.3s] dt_min=5.586409e-06
    N=20 (10/20) [103.8s] dt_min=5.104984e-06
    N=22 (11/20) [136.2s] dt_min=4.69044e-06
    N=24 (12/20) [176.1s] dt_min=4.337291e-06
    N=26 (13/20) [221.8s] dt_min=4.041148e-06
    N=28 (14/20) [275.8s] dt_min=3.775492e-06
    N=30 (15/20) [337.8s] dt_min=3.53762e-06
    N=32 (16/20) [409.5s] dt_min=3.354084e-06
    N=34 (17/20) [484.6s] dt_min=3.22663e-06
    N=36 (18/20) [558.6s] dt_min=3.116351e-06
    N=38 (19/20) [628.5s] dt_min=3.019936e-06
    N=40 (20/20) [700.3s] dt_min=2.933796e-06
  ℱ=1000 total: 700.4s (11.7m)

Combining 10 results
Total: 7498.5s (125.0m)
  Saved to /home/miguel/Git/notebooks/reports/r20260629/raw_data/20260629-cavity_tmsv_sensitivity.parquet
Fitting scaling exponents...
  Overall α (combined): -0.9247
  Prefactor β: 0.9944 ± 0.0043
  Plotted /home/miguel/Git/notebooks/reports/r20260629/figures/20260629-delta_omega_F1.0.svg
  Plotted /home/miguel/Git/notebooks/reports/r20260629/figures/20260629-delta_omega_F5.0.svg
  Plotted /home/miguel/Git/notebooks/reports/r20260629/figures/20260629-delta_omega_F20.0.svg
  Plotted /home/miguel/Git/notebooks/reports/r20260629/figures/20260629-delta_omega_F100.0.svg
  Plotted /home/miguel/Git/notebooks/reports/r20260629/figures/20260629-delta_omega_F500.0.svg
  Plotted /home/miguel/Git/notebooks/reports/r20260629/figures/20260629-scaling.svg
  Plotted /home/miguel/Git/notebooks/reports/r20260629/figures/20260629-prefactor_scaling.svg
