theta,best_delta_theta,sql,vs_sql,spread,T_H_star,covariance,expectation_M,flag
0.1,0.2044038575,0.2000239015,1.021897163,0.07851903104,4.999402534,0.003522517693,-0.2546386012,ok
0.2,0.2149800501,0.2006985676,1.071158866,0.1561426848,4.982596598,0.01025957635,-0.8181046812,ok
0.5,0.2000431094,0.2000008567,1.000211263,0.171153071,4.999978583,-0.001259661962,-0.3476847327,ok
1,0.2019297681,0.2000427269,1.009433191,0.07690612803,4.998932055,0.002376186738,-0.4644445142,ok
2,0.2008783399,0.2000656095,1.004062319,0.003119467599,4.998360301,-8.559074701e-05,-0.3953118259,ok
5,0.3124967061,0.3108514914,1.005292607,0.4004218512,3.21697025,1.867783902e-05,-0.6620612527,ok
