alpha_xx,alpha_xz,alpha_zx,alpha_zz,delta_theta
-1.833543305,-0.02403672302,-0.6805551507,-1.421903245,2.1124535
-1.586388129,0.3505782887,-1.317628126,1.700480474,8.878088201
0.3242445588,-0.6125207819,0.3636619659,-1.908784516,3.147679088
1.834236853,-0.07078625223,1.130940909,-1.66908,9.728645767
-0.05336667665,-0.03717202258,1.75130582,0.2869122095,2.476612388
-0.1060423958,-0.9320973476,-0.6737240106,0.08268960989,1.043659844
-0.2443541588,-1.91355168,1.305167697,1.584643087,3.032728005
-1.439003644,0.2161445742,-1.565697035,0.6889603722,3.019999708
-0.8750648646,0.6376905388,0.9079784571,1.074589968,1.625806248
-1.569036216,1.664047381,-1.079144036,-1.850349775,2.157234462
0.2194098776,-0.5163108646,1.319158973,1.233005888,2.406531973
-0.7314444287,1.81159758,-0.8363286474,0.06022851693,1.873530875
-0.9761396377,1.74417428,-1.34156873,-1.820357522,2.395556987
-0.25961176,1.969502256,1.566709065,0.9944320778,6.773334408
1.563169964,1.573786559,0.07543344155,-0.7362837927,1.923153053
1.088049728,0.6466450527,-0.5053690845,-1.622133328,2.819807252
0.9871584454,-0.9501579363,1.747252602,-1.0361177,3.370359698
-1.50896827,1.324450688,-1.386862734,-1.282926767,2.106558859
0.3975311661,1.498248163,-1.214261337,-0.7587053084,2.119659161
1.109619353,1.887305704,0.002964744809,-1.42440999,3.352660676
-1.944254849,-1.08137588,-1.472711129,0.7106346945,4.877290716
-1.512669981,0.02531972648,0.7770497426,0.3244664369,1.573520915
-1.200897393,1.216498105,0.8616285185,0.9559360157,1.180884831
-1.475768994,-1.504984785,1.710250204,-0.4096872247,2.238768228
-0.7962052329,-0.04566381859,0.6514568511,1.822493028,3.422379862
-0.8542150925,1.699233717,-1.900562034,0.2207921693,2.353212828
0.5359004467,-1.576410385,-1.438641612,-0.3235427227,1.505058652
1.864927649,0.3841702129,1.732092886,1.217443662,3.482241221
-0.1304735938,1.139053797,-1.928652864,-1.563424013,3.401546477
1.31771446,1.187268353,-1.069437032,0.1230783624,1.936951888
0.4240632828,1.470955815,0.4124286294,-0.3497137229,1.22940585
-0.5032638264,-0.2964716545,0.6077241023,1.469962527,2.19420285
-0.1844124717,-1.008641748,-1.053350548,0.984057121,1.869620896
