theta,best_delta_theta,sql,ratio,a_x,a_y,a_z,a_zz,expectation_Jz,variance_Jz
0.1,0.09999999993,0.1,0.9999999993,0.6867394495,-3.685522249,2.721836583,-4.642358815,-0.271174046,0.1764646368
0.5,0.09999999991,0.1,0.9999999991,-4.811719223,-4.908067776,4.774840494,3.348860033,0.1422112697,0.2297759548
1,0.09999999987,0.1,0.9999999987,1.041293346,0.06114565092,4.558949976,-4.545296395,-0.4188800588,0.07453949635
2,0.0999999999,0.1,0.999999999,0.1961952875,-0.6548953419,4.65843423,-1.905219316,0.2022528363,0.2090937902
5,0.09999999967,0.1,0.9999999967,-0.9006811722,1.313964795,-4.434453091,-0.6679496013,0.4824006496,0.0172896133
