drive,azz,delta_theta,theta_value,slice_type
-5,-5,0.1004579182,0.5,ax
-5,-4.95,0.1008772368,0.5,ax
-5,-4.9,0.1015271986,0.5,ax
-5,-4.85,0.10246832,0.5,ax
-5,-4.8,0.1037558309,0.5,ax
-5,-4.75,0.1054321044,0.5,ax
-5,-4.7,0.1075189314,0.5,ax
-5,-4.65,0.1100110343,0.5,ax
-5,-4.6,0.1128722359,0.5,ax
-5,-4.55,0.1160352866,0.5,ax
-5,-4.5,0.1194056146,0.5,ax
-5,-4.45,0.1228684644,0.5,ax
-5,-4.4,0.1262982718,0.5,ax
-5,-4.35,0.1295688582,0.5,ax
-5,-4.3,0.1325630675,0.5,ax
-5,-4.25,0.135180753,0.5,ax
-5,-4.2,0.1373444149,0.5,ax
-5,-4.15,0.1390022103,0.5,ax
-5,-4.1,0.1401284328,0.5,ax
-5,-4.05,0.14072185,0.5,ax
-5,-4,0.140802458,0.5,ax
-5,-3.95,0.140407278,0.5,ax
-5,-3.9,0.1395857787,0.5,ax
-5,-3.85,0.1383954048,0.5,ax
-5,-3.8,0.1368975557,0.5,ax
-5,-3.75,0.1351542144,0.5,ax
-5,-3.7,0.1332253092,0.5,ax
-5,-3.65,0.1311667952,0.5,ax
-5,-3.6,0.1290293863,0.5,ax
-5,-3.55,0.126857833,0.5,ax
-5,-3.5,0.1246906344,0.5,ax
-5,-3.45,0.122560076,0.5,ax
-5,-3.4,0.1204924979,0.5,ax
-5,-3.35,0.1185087154,0.5,ax
-5,-3.3,0.1166245293,0.5,ax
-5,-3.25,0.114851281,0.5,ax
-5,-3.2,0.1131964182,0.5,ax
-5,-3.15,0.1116640473,0.5,ax
-5,-3.1,0.1102554589,0.5,ax
-5,-3.05,0.1089696164,0.5,ax
-5,-3,0.1078036006,0.5,ax
-5,-2.95,0.1067530108,0.5,ax
-5,-2.9,0.1058123188,0.5,ax
-5,-2.85,0.1049751799,0.5,ax
-5,-2.8,0.1042346993,0.5,ax
-5,-2.75,0.1035836608,0.5,ax
-5,-2.7,0.103014716,0.5,ax
-5,-2.65,0.1025205411,0.5,ax
-5,-2.6,0.1020939634,0.5,ax
-5,-2.55,0.1017280602,0.5,ax
-5,-2.5,0.1014162343,0.5,ax
-5,-2.45,0.1011522691,0.5,ax
-5,-2.4,0.1009303666,0.5,ax
-5,-2.35,0.1007451695,0.5,ax
-5,-2.3,0.1005917723,0.5,ax
-5,-2.25,0.1004657214,0.5,ax
-5,-2.2,0.100363007,0.5,ax
-5,-2.15,0.1002800492,0.5,ax
-5,-2.1,0.1002136778,0.5,ax
-5,-2.05,0.1001611096,0.5,ax
-5,-2,0.1001199219,0.5,ax
-5,-1.95,0.1000880249,0.5,ax
-5,-1.9,0.1000636326,0.5,ax
-5,-1.85,0.1000452339,0.5,ax
-5,-1.8,0.1000315632,0.5,ax
-5,-1.75,0.1000215727,0.5,ax
-5,-1.7,0.100014405,0.5,ax
-5,-1.65,0.1000093678,0.5,ax
-5,-1.6,0.1000059097,0.5,ax
-5,-1.55,0.1000035986,0.5,ax
-5,-1.5,0.1000021014,0.5,ax
-5,-1.45,0.1000011667,0.5,ax
-5,-1.4,0.1000006085,0.5,ax
-5,-1.35,0.1000002931,0.5,ax
-5,-1.3,0.1000001271,0.5,ax
-5,-1.25,0.1000000475,0.5,ax
-5,-1.2,0.1000000143,0.5,ax
-5,-1.15,0.1000000029,0.5,ax
-5,-1.1,0.1000000003,0.5,ax
-5,-1.05,0.1,0.5,ax
-5,-1,0.1,0.5,ax
-5,-0.95,0.1000000003,0.5,ax
-5,-0.9,0.1000000018,0.5,ax
-5,-0.85,0.1000000051,0.5,ax
-5,-0.8,0.1000000108,0.5,ax
-5,-0.75,0.1000000186,0.5,ax
-5,-0.7,0.1000000278,0.5,ax
-5,-0.65,0.1000000374,0.5,ax
-5,-0.6,0.1000000462,0.5,ax
-5,-0.55,0.1000000532,0.5,ax
-5,-0.5,0.1000000574,0.5,ax
-5,-0.45,0.1000000583,0.5,ax
-5,-0.4,0.1000000559,0.5,ax
-5,-0.35,0.1000000503,0.5,ax
-5,-0.3,0.1000000423,0.5,ax
-5,-0.25,0.1000000329,0.5,ax
-5,-0.2,0.100000023,0.5,ax
-5,-0.15,0.1000000138,0.5,ax
-5,-0.1,0.1000000064,0.5,ax
-5,-0.05,0.1000000016,0.5,ax
-5,0,0.1,0.5,ax
-5,0.05,0.1000000016,0.5,ax
-5,0.1,0.1000000064,0.5,ax
-5,0.15,0.1000000138,0.5,ax
-5,0.2,0.1000000228,0.5,ax
-5,0.25,0.1000000326,0.5,ax
-5,0.3,0.100000042,0.5,ax
-5,0.35,0.1000000499,0.5,ax
-5,0.4,0.1000000553,0.5,ax
-5,0.45,0.1000000577,0.5,ax
-5,0.5,0.1000000567,0.5,ax
-5,0.55,0.1000000525,0.5,ax
-5,0.6,0.1000000456,0.5,ax
-5,0.65,0.1000000369,0.5,ax
-5,0.7,0.1000000274,0.5,ax
-5,0.75,0.1000000183,0.5,ax
-5,0.8,0.1000000107,0.5,ax
-5,0.85,0.1000000051,0.5,ax
-5,0.9,0.1000000018,0.5,ax
-5,0.95,0.1000000003,0.5,ax
-5,1,0.1,0.5,ax
-5,1.05,0.1,0.5,ax
-5,1.1,0.1000000003,0.5,ax
-5,1.15,0.100000003,0.5,ax
-5,1.2,0.1000000144,0.5,ax
-5,1.25,0.1000000484,0.5,ax
-5,1.3,0.1000001301,0.5,ax
-5,1.35,0.1000003019,0.5,ax
-5,1.4,0.1000006309,0.5,ax
-5,1.45,0.1000012182,0.5,ax
-5,1.5,0.1000022111,0.5,ax
-5,1.55,0.1000038176,0.5,ax
-5,1.6,0.1000063243,0.5,ax
-5,1.65,0.1000101183,0.5,ax
-5,1.7,0.100015712,0.5,ax
-5,1.75,0.1000237732,0.5,ax
-5,1.8,0.1000351597,0.5,ax
-5,1.85,0.1000509577,0.5,ax
-5,1.9,0.1000725262,0.5,ax
-5,1.95,0.1001015458,0.5,ax
-5,2,0.1001400715,0.5,ax
-5,2.05,0.1001905902,0.5,ax
-5,2.1,0.1002560794,0.5,ax
-5,2.15,0.1003400686,0.5,ax
-5,2.2,0.1004466981,0.5,ax
-5,2.25,0.1005807746,0.5,ax
-5,2.3,0.1007478171,0.5,ax
-5,2.35,0.1009540912,0.5,ax
-5,2.4,0.101206622,0.5,ax
-5,2.45,0.1015131817,0.5,ax
-5,2.5,0.1018822408,0.5,ax
-5,2.55,0.1023228754,0.5,ax
-5,2.6,0.1028446204,0.5,ax
-5,2.65,0.1034572595,0.5,ax
-5,2.7,0.1041705445,0.5,ax
-5,2.75,0.1049938382,0.5,ax
-5,2.8,0.10593568,0.5,ax
-5,2.85,0.107003277,0.5,ax
-5,2.9,0.1082019332,0.5,ax
-5,2.95,0.1095344316,0.5,ax
-5,3,0.111000398,0.5,ax
-5,3.05,0.1125956765,0.5,ax
-5,3.1,0.1143117578,0.5,ax
-5,3.15,0.1161353017,0.5,ax
-5,3.2,0.1180478009,0.5,ax
-5,3.25,0.1200254265,0.5,ax
-5,3.3,0.1220390975,0.5,ax
-5,3.35,0.1240548059,0.5,ax
-5,3.4,0.1260342188,0.5,ax
-5,3.45,0.127935567,0.5,ax
-5,3.5,0.129714813,0.5,ax
-5,3.55,0.1313270724,0.5,ax
-5,3.6,0.1327282421,0.5,ax
-5,3.65,0.1338767692,0.5,ax
-5,3.7,0.1347354719,0.5,ax
-5,3.75,0.135273314,0.5,ax
-5,3.8,0.1354670194,0.5,ax
