drive,azz,delta_theta,theta_value,slice_type
-5,-5,0.2345968177,2.5,ax
-5,-4.95,0.2371488323,2.5,ax
-5,-4.9,0.2396549458,2.5,ax
-5,-4.85,0.2421090082,2.5,ax
-5,-4.8,0.2445046965,2.5,ax
-5,-4.75,0.2468355334,2.5,ax
-5,-4.7,0.2490948644,2.5,ax
-5,-4.65,0.2512758786,2.5,ax
-5,-4.6,0.2533716044,2.5,ax
-5,-4.55,0.2553749265,2.5,ax
-5,-4.5,0.2572785773,2.5,ax
-5,-4.45,0.2590751638,2.5,ax
-5,-4.4,0.2607571786,2.5,ax
-5,-4.35,0.2623170131,2.5,ax
-5,-4.3,0.2637469924,2.5,ax
-5,-4.25,0.2650394021,2.5,ax
-5,-4.2,0.2661865246,2.5,ax
-5,-4.15,0.2671806732,2.5,ax
-5,-4.1,0.2680142604,2.5,ax
-5,-4.05,0.2686798381,2.5,ax
-5,-4,0.2691701673,2.5,ax
-5,-3.95,0.2694783042,2.5,ax
-5,-3.9,0.2695976611,2.5,ax
-5,-3.85,0.2695220944,2.5,ax
-5,-3.8,0.2692460323,2.5,ax
-5,-3.75,0.2687645202,2.5,ax
-5,-3.7,0.2680733669,2.5,ax
-5,-3.65,0.2671692305,2.5,ax
-5,-3.6,0.2660497419,2.5,ax
-5,-3.55,0.2647135705,2.5,ax
-5,-3.5,0.2631605626,2.5,ax
-5,-3.45,0.26139181,2.5,ax
-5,-3.4,0.2594097193,2.5,ax
-5,-3.35,0.2572181093,2.5,ax
-5,-3.3,0.2548222208,2.5,ax
-5,-3.25,0.2522287448,2.5,ax
-5,-3.2,0.2494458473,2.5,ax
-5,-3.15,0.2464831144,2.5,ax
-5,-3.1,0.2433515267,2.5,ax
-5,-3.05,0.2400633547,2.5,ax
-5,-3,0.236632075,2.5,ax
-5,-2.95,0.2330722188,2.5,ax
-5,-2.9,0.229399223,2.5,ax
-5,-2.85,0.2256292554,2.5,ax
-5,-2.8,0.2217790033,2.5,ax
-5,-2.75,0.217865504,2.5,ax
-5,-2.7,0.2139058763,2.5,ax
-5,-2.65,0.2099171653,2.5,ax
-5,-2.6,0.2059160853,2.5,ax
-5,-2.55,0.2019188359,2.5,ax
-5,-2.5,0.197940913,2.5,ax
-5,-2.45,0.1939969479,2.5,ax
-5,-2.4,0.1901005395,2.5,ax
-5,-2.35,0.1862641619,2.5,ax
-5,-2.3,0.1824990481,2.5,ax
-5,-2.25,0.1788151299,2.5,ax
-5,-2.2,0.1752210122,2.5,ax
-5,-2.15,0.1717239398,2.5,ax
-5,-2.1,0.1683298396,2.5,ax
-5,-2.05,0.1650433274,2.5,ax
-5,-2,0.1618678001,2.5,ax
-5,-1.95,0.1588054616,2.5,ax
-5,-1.9,0.1558574696,2.5,ax
-5,-1.85,0.1530239821,2.5,ax
-5,-1.8,0.1503042718,2.5,ax
-5,-1.75,0.1476968581,2.5,ax
-5,-1.7,0.1451995703,2.5,ax
-5,-1.65,0.1428096824,2.5,ax
-5,-1.6,0.1405240127,2.5,ax
-5,-1.55,0.1383389912,2.5,ax
-5,-1.5,0.1362507701,2.5,ax
-5,-1.45,0.1342552848,2.5,ax
-5,-1.4,0.1323483424,2.5,ax
-5,-1.35,0.1305256653,2.5,ax
-5,-1.3,0.1287829475,2.5,ax
-5,-1.25,0.1271159074,2.5,ax
-5,-1.2,0.125520315,2.5,ax
-5,-1.15,0.1239920297,2.5,ax
-5,-1.1,0.1225270142,2.5,ax
-5,-1.05,0.1211213682,2.5,ax
-5,-1,0.1197713234,2.5,ax
-5,-0.95,0.1184732683,2.5,ax
-5,-0.9,0.1172237453,2.5,ax
-5,-0.85,0.1160194565,2.5,ax
-5,-0.8,0.1148572648,2.5,ax
-5,-0.75,0.1137341953,2.5,ax
-5,-0.7,0.1126474269,2.5,ax
-5,-0.65,0.1115942914,2.5,ax
-5,-0.6,0.1105722704,2.5,ax
-5,-0.55,0.1095789903,2.5,ax
-5,-0.5,0.108612219,2.5,ax
-5,-0.45,0.1076698539,2.5,ax
-5,-0.4,0.1067499248,2.5,ax
-5,-0.35,0.1058505812,2.5,ax
-5,-0.3,0.1049700951,2.5,ax
-5,-0.25,0.1041068491,2.5,ax
-5,-0.2,0.1032593349,2.5,ax
-5,-0.15,0.1024261492,2.5,ax
-5,-0.1,0.1016059878,2.5,ax
-5,-0.05,0.1007976443,2.5,ax
-5,0,0.09999999967,2.5,ax
-5,0.05,0.09921202963,2.5,ax
-5,0.1,0.09843278979,2.5,ax
-5,0.15,0.0976614208,2.5,ax
-5,0.2,0.09689713709,2.5,ax
-5,0.25,0.09613923298,2.5,ax
-5,0.3,0.09538707175,2.5,ax
-5,0.35,0.09464008952,2.5,ax
-5,0.4,0.09389778392,2.5,ax
-5,0.45,0.09315972029,2.5,ax
-5,0.5,0.09242552536,2.5,ax
-5,0.55,0.09169487884,2.5,ax
-5,0.6,0.09096752418,2.5,ax
-5,0.65,0.09024324907,2.5,ax
-5,0.7,0.08952189732,2.5,ax
