a_x,a_y,a_z,a_zz,delta_theta,theta_value,sql,T_H
2.739560486,-0.6112156025,3.585979199,1.973680291,0.1853032174,4.5,0.1,10
-4.058226521,4.756223516,2.61139702,2.860643053,0.3208392796,4.5,0.1,10
-3.718863673,-0.496140621,-1.292019758,4.267649888,0.2173804089,4.5,0.1,10
1.438651201,3.227616133,-0.5658580117,-2.727612782,0.2122373093,4.5,0.1,10
0.5458478702,-4.361827439,3.27631172,1.316643991,0.1214326133,4.5,0.1,10
2.580877401,-1.454740319,4.706980244,3.931211213,0.119084547,4.5,0.1,10
2.783834971,-3.053612921,-0.3327899627,-4.561962342,0.1731815514,4.5,0.1,10
-3.457105079,1.830489532,2.447621559,4.675097324,0.09098114446,4.5,0.1,10
-1.741746419,-1.29540294,-0.3044418872,-3.105286409,0.1452986769,4.5,0.1,10
-3.700784947,-0.2429507377,-2.730906509,1.698139947,0.9955324039,4.5,0.1,10
-0.6284808113,3.326781961,2.00265102,-1.876333586,0.3542923815,4.5,0.1,10
3.322598014,3.047643575,-1.12521621,-2.116718961,0.1339522731,4.5,0.1,10
1.82495504,-3.602475164,-3.000917975,-4.926377302,0.1172284156,4.5,0.1,10
2.869243775,1.648508566,2.051653786,2.80729031,0.1228361983,4.5,0.1,10
-0.4108422446,0.6874119595,-3.602030019,-3.854699265,0.09831813699,4.5,0.1,10
1.684029618,-0.2890379386,0.6523610648,2.649988574,0.8349334401,4.5,0.1,10
1.3471832,0.5357940066,0.5920716075,-1.960499019,0.1399209683,4.5,0.1,10
-4.691821654,-0.6328261077,-2.854153272,-0.9147135628,0.1348171864,4.5,0.1,10
3.534030733,-2.660605141,-4.416972583,-2.18616108,0.2801931415,4.5,0.1,10
-2.064062422,1.619165147,0.5703215234,2.838982091,0.08580596129,4.5,0.1,10
1.643135403,-0.9361313856,3.140203847,-3.330270801,0.1384308681,4.5,0.1,10
-4.772879269,-4.099521392,2.223593506,-0.3812276975,0.1408562769,4.5,0.1,10
-3.38728221,0.01044775103,-3.476878973,1.963203751,0.1129970127,4.5,0.1,10
-0.5384372443,-1.189787739,-1.984879109,1.302825931,0.1737116027,4.5,0.1,10
-1.381873894,-4.123500807,-3.819940979,4.618976645,0.08417601874,4.5,0.1,10
4.085806907,1.997071338,-2.341300385,4.691763773,0.2069003751,4.5,0.1,10
2.78750904,2.168901892,-0.5063849786,-2.277584382,1.635547342,4.5,0.1,10
-4.036090378,4.026023965,-0.4422371017,-2.976366352,2.815970898,4.5,0.1,10
-1.940433758,0.7921956894,-3.232272171,3.566142841,0.1346657995,4.5,0.1,10
2.585195298,2.19462956,-0.6790696022,1.273088407,0.2680422643,4.5,0.1,10
0.8409796891,1.498466016,-4.155556789,-0.8419259783,0.1337081519,4.5,0.1,10
-4.583858261,-0.06009180755,-1.701387877,-3.554758111,0.1333503129,4.5,0.1,10
-3.965970323,0.8764457218,-3.294070315,4.251201184,0.1718580512,4.5,0.1,10
0.810611397,-1.531301955,0.9091549148,-4.77196129,0.3397219306,4.5,0.1,10
4.585592132,-0.1769656306,2.827352273,-4.172700001,0.2870857188,4.5,0.1,10
-0.1334166916,-0.09293005645,4.37826455,0.7172805238,0.1000067813,4.5,0.1,10
-0.2651059894,-2.330243369,-1.684310027,0.2067240247,0.1139893932,4.5,0.1,10
-0.6108853969,-4.783879201,3.262919242,3.961607718,0.4075585244,4.5,0.1,10
-3.59750911,0.5403614354,-3.914242589,1.72240093,0.1017190853,4.5,0.1,10
-2.187662162,1.594226347,2.269946143,2.686474919,0.1510435888,4.5,0.1,10
-3.92259054,4.160118451,-2.697860091,-4.625874438,0.1993862453,4.5,0.1,10
0.5485246939,-1.290777161,3.297897431,3.082514721,0.1451235568,4.5,0.1,10
-1.828611072,4.528993951,-2.090821619,0.1505712923,0.1032441216,4.5,0.1,10
-2.440349094,4.3604357,-3.353921824,-4.550893806,0.1092622287,4.5,0.1,10
