drive,azz,delta_theta,theta_value,slice_type
-5,-5,0.04594454843,1.1,ay
-5,-4.95,0.04413188596,1.1,ay
-5,-4.9,0.04275092469,1.1,ay
-5,-4.85,0.04171958402,1.1,ay
-5,-4.8,0.04098009145,1.1,ay
-5,-4.75,0.04049214686,1.1,ay
-5,-4.7,0.04022847407,1.1,ay
-5,-4.65,0.04017190017,1.1,ay
-5,-4.6,0.0403134524,1.1,ay
-5,-4.55,0.04065116413,1.1,ay
-5,-4.5,0.04118940161,1.1,ay
-5,-4.45,0.04193860024,1.1,ay
-5,-4.4,0.0429153518,1.1,ay
-5,-4.35,0.04414282362,1.1,ay
-5,-4.3,0.04565152603,1.1,ay
-5,-4.25,0.04748048046,1.1,ay
-5,-4.2,0.04967888371,1.1,ay
-5,-4.15,0.05230842087,1.1,ay
-5,-4.1,0.05544646015,1.1,ay
-5,-4.05,0.0591904832,1.1,ay
-5,-4,0.06366428931,1.1,ay
-5,-3.95,0.06902680551,1.1,ay
-5,-3.9,0.075484817,1.1,ay
-5,-3.85,0.08331174639,1.1,ay
-5,-3.8,0.09287604118,1.1,ay
-5,-3.75,0.1046853339,1.1,ay
-5,-3.7,0.1194575067,1.1,ay
-5,-3.65,0.1382397686,1.1,ay
-5,-3.6,0.1626181257,1.1,ay
-5,-3.55,0.1951085139,1.1,ay
-5,-3.5,0.2399437855,1.1,ay
-5,-3.45,0.3048175536,1.1,ay
-5,-3.4,0.4052845321,1.1,ay
-5,-3.35,0.5781386308,1.1,ay
-5,-3.3,0.9361273915,1.1,ay
-5,-3.25,2.071091844,1.1,ay
-5,-3.2,36.44488691,1.1,ay
-5,-3.15,2.154427208,1.1,ay
-5,-3.1,1.205710616,1.1,ay
-5,-3.05,0.888443035,1.1,ay
-5,-3,0.7377642461,1.1,ay
-5,-2.95,0.6570229199,1.1,ay
-5,-2.9,0.6140857969,1.1,ay
-5,-2.85,0.5959475443,1.1,ay
-5,-2.8,0.5973370997,1.1,ay
-5,-2.75,0.6172130166,1.1,ay
-5,-2.7,0.6579921507,1.1,ay
-5,-2.65,0.7265346911,1.1,ay
-5,-2.6,0.8378041542,1.1,ay
-5,-2.55,1.025731341,1.1,ay
-5,-2.5,1.381461426,1.1,ay
-5,-2.45,2.252486422,1.1,ay
-5,-2.4,7.215035767,1.1,ay
-5,-2.35,5.29604588,1.1,ay
-5,-2.3,1.869110877,1.1,ay
-5,-2.25,1.115092178,1.1,ay
-5,-2.2,0.7867468953,1.1,ay
-5,-2.15,0.6042779472,1.1,ay
-5,-2.1,0.4889010997,1.1,ay
-5,-2.05,0.4098358804,1.1,ay
-5,-2,0.3525893778,1.1,ay
-5,-1.95,0.3094487787,1.1,ay
-5,-1.9,0.2759360823,1.1,ay
-5,-1.85,0.2492759775,1.1,ay
-5,-1.8,0.2276586664,1.1,ay
-5,-1.75,0.2098548401,1.1,ay
-5,-1.7,0.1950010787,1.1,ay
-5,-1.65,0.1824737542,1.1,ay
-5,-1.6,0.1718116211,1.1,ay
-5,-1.55,0.1626665041,1.1,ay
-5,-1.5,0.1547708772,1.1,ay
-5,-1.45,0.1479159532,1.1,ay
-5,-1.4,0.1419365209,1.1,ay
-5,-1.35,0.1367002246,1.1,ay
-5,-1.3,0.1320998417,1.1,ay
-5,-1.25,0.1280476251,1.1,ay
-5,-1.2,0.1244710945,1.1,ay
-5,-1.15,0.1213098614,1.1,ay
-5,-1.1,0.1185132044,1.1,ay
-5,-1.05,0.1160381946,1.1,ay
-5,-1,0.1138482309,1.1,ay
-5,-0.95,0.1119118839,1.1,ay
-5,-0.9,0.1102019754,1.1,ay
-5,-0.85,0.1086948369,1.1,ay
-5,-0.8,0.1073697094,1.1,ay
-5,-0.75,0.1062082519,1.1,ay
-5,-0.7,0.1051941367,1.1,ay
-5,-0.65,0.1043127129,1.1,ay
-5,-0.6,0.1035507254,1.1,ay
-5,-0.55,0.1028960776,1.1,ay
-5,-0.5,0.102337631,1.1,ay
-5,-0.45,0.101865034,1.1,ay
-5,-0.4,0.1014685759,1.1,ay
-5,-0.35,0.1011390617,1.1,ay
-5,-0.3,0.1008677044,1.1,ay
-5,-0.25,0.1006460337,1.1,ay
-5,-0.2,0.1004658188,1.1,ay
-5,-0.15,0.1003190035,1.1,ay
-5,-0.1,0.1001976539,1.1,ay
-5,-0.05,0.1000939188,1.1,ay
-5,0,0.1,1.1,ay
-5,0.05,0.09990813634,1.1,ay
-5,0.1,0.09981059815,1.1,ay
-5,0.15,0.09969969496,1.1,ay
-5,0.2,0.09956779504,1.1,ay
-5,0.25,0.09940735784,1.1,ay
-5,0.3,0.09921097863,1.1,ay
-5,0.35,0.09897144538,1.1,ay
-5,0.4,0.09868180728,1.1,ay
-5,0.45,0.09833545309,1.1,ay
-5,0.5,0.09792619851,1.1,ay
-5,0.55,0.09744837978,1.1,ay
-5,0.6,0.09689695125,1.1,ay
-5,0.65,0.0962675831,1.1,ay
-5,0.7,0.09555675655,1.1,ay
-5,0.75,0.09476185145,1.1,ay
-5,0.8,0.0938812235,1.1,ay
-5,0.85,0.09291426611,1.1,ay
-5,0.9,0.0918614539,1.1,ay
-5,0.95,0.0907243647,1.1,ay
