drive,azz,delta_theta,theta_value,slice_type
-5,-5,0.2593325059,1.9,ax
-5,-4.95,0.2439515519,1.9,ax
-5,-4.9,0.2308172476,1.9,ax
-5,-4.85,0.2195074666,1.9,ax
-5,-4.8,0.2097002166,1.9,ax
-5,-4.75,0.2011456238,1.9,ax
-5,-4.7,0.1936468208,1.9,ax
-5,-4.65,0.1870466066,1.9,ax
-5,-4.6,0.1812179284,1.9,ax
-5,-4.55,0.1760569792,1.9,ax
-5,-4.5,0.1714780984,1.9,ax
-5,-4.45,0.1674099496,1.9,ax
-5,-4.4,0.163792623,1.9,ax
-5,-4.35,0.1605753998,1.9,ax
-5,-4.3,0.157715015,1.9,ax
-5,-4.25,0.1551742845,1.9,ax
-5,-4.2,0.1529210218,1.9,ax
-5,-4.15,0.1509271583,1.9,ax
-5,-4.1,0.1491680303,1.9,ax
-5,-4.05,0.1476217964,1.9,ax
-5,-4,0.1462689567,1.9,ax
-5,-3.95,0.145091939,1.9,ax
-5,-3.9,0.1440747604,1.9,ax
-5,-3.85,0.1432027326,1.9,ax
-5,-3.8,0.1424622022,1.9,ax
-5,-3.75,0.1418403321,1.9,ax
-5,-3.7,0.1413248983,1.9,ax
-5,-3.65,0.1409041148,1.9,ax
-5,-3.6,0.1405664731,1.9,ax
-5,-3.55,0.1403005961,1.9,ax
-5,-3.5,0.1400951076,1.9,ax
-5,-3.45,0.1399385134,1.9,ax
-5,-3.4,0.1398190967,1.9,ax
-5,-3.35,0.1397248283,1.9,ax
-5,-3.3,0.1396432942,1.9,ax
-5,-3.25,0.1395616469,1.9,ax
-5,-3.2,0.1394665786,1.9,ax
-5,-3.15,0.1393443328,1.9,ax
-5,-3.1,0.1391807501,1.9,ax
-5,-3.05,0.1389613682,1.9,ax
-5,-3,0.1386715819,1.9,ax
-5,-2.95,0.1382968658,1.9,ax
-5,-2.9,0.1378230907,1.9,ax
-5,-2.85,0.1372369175,1.9,ax
-5,-2.8,0.1365263039,1.9,ax
-5,-2.75,0.1356810978,1.9,ax
-5,-2.7,0.1346937407,1.9,ax
-5,-2.65,0.1335600492,1.9,ax
-5,-2.6,0.1322800462,1.9,ax
-5,-2.55,0.1308588049,1.9,ax
-5,-2.5,0.1293072421,1.9,ax
-5,-2.45,0.1276427509,1.9,ax
-5,-2.4,0.1258895863,1.9,ax
-5,-2.35,0.1240788759,1.9,ax
-5,-2.3,0.1222481143,1.9,ax
-5,-2.25,0.1204400554,1.9,ax
-5,-2.2,0.1187009205,1.9,ax
-5,-2.15,0.1170779482,1.9,ax
-5,-2.1,0.1156164144,1.9,ax
-5,-2.05,0.1143563672,1.9,ax
-5,-2,0.1133294502,1.9,ax
-5,-1.95,0.1125562351,1.9,ax
-5,-1.9,0.1120444887,1.9,ax
-5,-1.85,0.1117886373,1.9,ax
-5,-1.8,0.1117705398,1.9,ax
-5,-1.75,0.1119614025,1.9,ax
-5,-1.7,0.1123245346,1.9,ax
-5,-1.65,0.1128184888,1.9,ax
-5,-1.6,0.1134001765,1.9,ax
-5,-1.55,0.1140276094,1.9,ax
-5,-1.5,0.114662065,1.9,ax
-5,-1.45,0.1152695737,1.9,ax
-5,-1.4,0.1158217784,1.9,ax
-5,-1.35,0.1162962279,1.9,ax
-5,-1.3,0.1166762541,1.9,ax
-5,-1.25,0.1169505299,1.9,ax
-5,-1.2,0.1171124664,1.9,ax
-5,-1.15,0.117159491,1.9,ax
-5,-1.1,0.1170923293,1.9,ax
-5,-1.05,0.1169143064,1.9,ax
-5,-1,0.116630709,1.9,ax
-5,-0.95,0.1162482308,1.9,ax
-5,-0.9,0.1157744976,1.9,ax
-5,-0.85,0.1152176824,1.9,ax
-5,-0.8,0.1145861865,1.9,ax
-5,-0.75,0.1138884023,1.9,ax
-5,-0.7,0.1131325284,1.9,ax
-5,-0.65,0.1123264363,1.9,ax
-5,-0.6,0.11147758,1.9,ax
-5,-0.55,0.1105929404,1.9,ax
-5,-0.5,0.1096789883,1.9,ax
-5,-0.45,0.1087416805,1.9,ax
-5,-0.4,0.107786456,1.9,ax
-5,-0.35,0.1068182565,1.9,ax
-5,-0.3,0.1058415481,1.9,ax
-5,-0.25,0.1048603458,1.9,ax
-5,-0.2,0.1038782471,1.9,ax
-5,-0.15,0.1028984631,1.9,ax
-5,-0.1,0.1019238518,1.9,ax
-5,-0.05,0.1009569496,1.9,ax
-5,0,0.09999999991,1.9,ax
-5,0.05,0.0990549874,1.9,ax
-5,0.1,0.09812366124,1.9,ax
-5,0.15,0.09720756312,1.9,ax
-5,0.2,0.0963080504,1.9,ax
-5,0.25,0.09542631886,1.9,ax
-5,0.3,0.09456342063,1.9,ax
-5,0.35,0.09372028528,1.9,ax
-5,0.4,0.09289773589,1.9,ax
-5,0.45,0.09209650167,1.9,ax
-5,0.5,0.09131723573,1.9,ax
-5,0.55,0.09056052502,1.9,ax
-5,0.6,0.08982690253,1.9,ax
-5,0.65,0.08911685718,1.9,ax
-5,0.7,0.08843084384,1.9,ax
-5,0.75,0.08776929184,1.9,ax
-5,0.8,0.08713261353,1.9,ax
-5,0.85,0.08652121095,1.9,ax
-5,0.9,0.0859354823,1.9,ax
-5,0.95,0.08537583025,1.9,ax
-5,1,0.08484266638,1.9,ax
-5,1.05,0.08433641837,1.9,ax
-5,1.1,0.08385753508,1.9,ax
-5,1.15,0.08340649258,1.9,ax
-5,1.2,0.08298379962,1.9,ax
-5,1.25,0.08259000385,1.9,ax
-5,1.3,0.08222569729,1.9,ax
-5,1.35,0.08189152206,1.9,ax
-5,1.4,0.0815881776,1.9,ax
-5,1.45,0.08131642586,1.9,ax
-5,1.5,0.08107710064,1.9,ax
-5,1.55,0.08087111261,1.9,ax
-5,1.6,0.08069945917,1.9,ax
-5,1.65,0.08056323413,1.9,ax
-5,1.7,0.08046363486,1.9,ax
-5,1.75,0.0804019764,1.9,ax
-5,1.8,0.08037970162,1.9,ax
-5,1.85,0.08039839493,1.9,ax
-5,1.9,0.08045979894,1.9,ax
-5,1.95,0.08056582933,1.9,ax
-5,2,0.0807185973,1.9,ax
-5,2.05,0.08092042776,1.9,ax
-5,2.1,0.0811738887,1.9,ax
-5,2.15,0.08148181608,1.9,ax
-5,2.2,0.08184734953,1.9,ax
-5,2.25,0.08227396895,1.9,ax
-5,2.3,0.08276553863,1.9,ax
-5,2.35,0.08332635899,1.9,ax
-5,2.4,0.08396122499,1.9,ax
-5,2.45,0.08467549561,1.9,ax
-5,2.5,0.08547517637,1.9,ax
-5,2.55,0.08636701437,1.9,ax
-5,2.6,0.0873586137,1.9,ax
-5,2.65,0.08845856959,1.9,ax
-5,2.7,0.08967663281,1.9,ax
-5,2.75,0.09102390461,1.9,ax
-5,2.8,0.09251307371,1.9,ax
-5,2.85,0.09415870619,1.9,ax
-5,2.9,0.09597760042,1.9,ax
-5,2.95,0.09798922384,1.9,ax
-5,3,0.1002162619,1.9,ax
-5,3.05,0.1026853018,1.9,ax
-5,3.1,0.1054277031,1.9,ax
-5,3.15,0.1084807107,1.9,ax
-5,3.2,0.1118888939,1.9,ax
-5,3.25,0.1157060321,1.9,ax
-5,3.3,0.1199976088,1.9,ax
-5,3.35,0.1248441723,1.9,ax
-5,3.4,0.1303459156,1.9,ax
-5,3.45,0.1366290375,1.9,ax
-5,3.5,0.1438547525,1.9,ax
-5,3.55,0.1522323181,1.9,ax
-5,3.6,0.1620383471,1.9,ax
-5,3.65,0.173646257,1.9,ax
-5,3.7,0.1875726391,1.9,ax
-5,3.75,0.20455312,1.9,ax
-5,3.8,0.2256721517,1.9,ax
-5,3.85,0.2525975314,1.9,ax
-5,3.9,0.2880334894,1.9,ax
-5,3.95,0.3366737599,1.9,ax
-5,4,0.4074433274,1.9,ax
-5,4.05,0.5196532468,1.9,ax
-5,4.1,0.724306532,1.9,ax
-5,4.15,1.214341515,1.9,ax
-5,4.2,3.947250335,1.9,ax
-5,4.25,3.03608004,1.9,ax
-5,4.3,1.082078761,1.9,ax
-5,4.35,0.653410526,1.9,ax
-5,4.4,0.4656320276,1.9,ax
-5,4.45,0.3603540966,1.9,ax
-5,4.5,0.2930827893,1.9,ax
-5,4.55,0.246443856,1.9,ax
-5,4.6,0.2122526857,1.9,ax
-5,4.65,0.1861481905,1.9,ax
-5,4.7,0.1655936103,1.9,ax
-5,4.75,0.1490129442,1.9,ax
-5,4.8,0.1353755,1.9,ax
-5,4.85,0.1239788672,1.9,ax
-5,4.9,0.114327904,1.9,ax
-5,4.95,0.1060635829,1.9,ax
-5,5,0.09891927484,1.9,ax
-4.95,-5,0.1664204303,1.9,ax
-4.95,-4.95,0.1628074026,1.9,ax
-4.95,-4.9,0.1596550339,1.9,ax
-4.95,-4.85,0.156912623,1.9,ax
-4.95,-4.8,0.1545372581,1.9,ax
-4.95,-4.75,0.1524923467,1.9,ax
-4.95,-4.7,0.1507464466,1.9,ax
-4.95,-4.65,0.1492723282,1.9,ax
-4.95,-4.6,0.1480462067,1.9,ax
-4.95,-4.55,0.1470471078,1.9,ax
-4.95,-4.5,0.1462563317,1.9,ax
-4.95,-4.45,0.1456569953,1.9,ax
-4.95,-4.4,0.1452336255,1.9,ax
-4.95,-4.35,0.1449717991,1.9,ax
-4.95,-4.3,0.1448578034,1.9,ax
-4.95,-4.25,0.1448783199,1.9,ax
-4.95,-4.2,0.1450201116,1.9,ax
-4.95,-4.15,0.1452697125,1.9,ax
-4.95,-4.1,0.1456131084,1.9,ax
-4.95,-4.05,0.1460354095,1.9,ax
-4.95,-4,0.1465205062,1.9,ax
-4.95,-3.95,0.1470507097,1.9,ax
-4.95,-3.9,0.1476063817,1.9,ax
-4.95,-3.85,0.1481655565,1.9,ax
-4.95,-3.8,0.1487035784,1.9,ax
-4.95,-3.75,0.1491927775,1.9,ax
-4.95,-3.7,0.1496022232,1.9,ax
-4.95,-3.65,0.1498976378,1.9,ax
-4.95,-3.6,0.1500415424,1.9,ax
-4.95,-3.55,0.1499937944,1.9,ax
-4.95,-3.5,0.1497127101,1.9,ax
-4.95,-3.45,0.1491570002,1.9,ax
-4.95,-3.4,0.1482888783,1.9,ax
-4.95,-3.35,0.1470787097,1.9,ax
-4.95,-3.3,0.1455116105,1.9,ax
-4.95,-3.25,0.1435963471,1.9,ax
-4.95,-3.2,0.1413765843,1.9,ax
-4.95,-3.15,0.1389438951,1.9,ax
-4.95,-3.1,0.1364506914,1.9,ax
-4.95,-3.05,0.1341192092,1.9,ax
-4.95,-3,0.1322401102,1.9,ax
-4.95,-2.95,0.1311524656,1.9,ax
-4.95,-2.9,0.1311987284,1.9,ax
-4.95,-2.85,0.1326572909,1.9,ax
-4.95,-2.8,0.135670264,1.9,ax
-4.95,-2.75,0.1401950837,1.9,ax
-4.95,-2.7,0.146002486,1.9,ax
-4.95,-2.65,0.15272109,1.9,ax
-4.95,-2.6,0.1599077976,1.9,ax
-4.95,-2.55,0.1671182734,1.9,ax
-4.95,-2.5,0.1739605301,1.9,ax
-4.95,-2.45,0.1801262855,1.9,ax
-4.95,-2.4,0.1854022082,1.9,ax
-4.95,-2.35,0.1896664405,1.9,ax
-4.95,-2.3,0.1928760388,1.9,ax
-4.95,-2.25,0.1950501101,1.9,ax
-4.95,-2.2,0.1962522385,1.9,ax
-4.95,-2.15,0.1965744309,1.9,ax
-4.95,-2.1,0.1961237742,1.9,ax
-4.95,-2.05,0.1950122514,1.9,ax
-4.95,-2,0.1933494785,1.9,ax
-4.95,-1.95,0.1912379932,1.9,ax
-4.95,-1.9,0.1887705693,1.9,ax
-4.95,-1.85,0.1860289918,1.9,ax
-4.95,-1.8,0.183083868,1.9,ax
-4.95,-1.75,0.1799951158,1.9,ax
-4.95,-1.7,0.1768127959,1.9,ax
-4.95,-1.65,0.173578176,1.9,ax
-4.95,-1.6,0.1703248278,1.9,ax
-4.95,-1.55,0.1670797027,1.9,ax
-4.95,-1.5,0.1638641445,1.9,ax
-4.95,-1.45,0.1606947755,1.9,ax
-4.95,-1.4,0.1575843045,1.9,ax
-4.95,-1.35,0.1545422089,1.9,ax
-4.95,-1.3,0.1515753206,1.9,ax
-4.95,-1.25,0.1486883234,1.9,ax
-4.95,-1.2,0.1458841672,1.9,ax
-4.95,-1.15,0.1431644097,1.9,ax
-4.95,-1.1,0.1405295054,1.9,ax
-4.95,-1.05,0.1379790414,1.9,ax
-4.95,-1,0.1355119253,1.9,ax
-4.95,-0.95,0.1331265432,1.9,ax
-4.95,-0.9,0.1308208922,1.9,ax
-4.95,-0.85,0.1285926757,1.9,ax
-4.95,-0.8,0.1264393914,1.9,ax
