a_x,a_y,a_z,a_zz,delta_theta,theta_value,sql,T_H
2.739560486,-0.6112156025,3.585979199,1.973680291,0.1325113658,3.5,0.1,10
-4.058226521,4.756223516,2.61139702,2.860643053,1.345387112,3.5,0.1,10
-3.718863673,-0.496140621,-1.292019758,4.267649888,0.144915624,3.5,0.1,10
1.438651201,3.227616133,-0.5658580117,-2.727612782,0.1784842965,3.5,0.1,10
0.5458478702,-4.361827439,3.27631172,1.316643991,0.1204045087,3.5,0.1,10
2.580877401,-1.454740319,4.706980244,3.931211213,0.122138501,3.5,0.1,10
2.783834971,-3.053612921,-0.3327899627,-4.561962342,5.478404028,3.5,0.1,10
-3.457105079,1.830489532,2.447621559,4.675097324,0.0816890377,3.5,0.1,10
-1.741746419,-1.29540294,-0.3044418872,-3.105286409,0.4889082952,3.5,0.1,10
-3.700784947,-0.2429507377,-2.730906509,1.698139947,0.1928470159,3.5,0.1,10
-0.6284808113,3.326781961,2.00265102,-1.876333586,0.2394353858,3.5,0.1,10
3.322598014,3.047643575,-1.12521621,-2.116718961,0.1248958896,3.5,0.1,10
1.82495504,-3.602475164,-3.000917975,-4.926377302,0.1350285644,3.5,0.1,10
2.869243775,1.648508566,2.051653786,2.80729031,0.1787793965,3.5,0.1,10
-0.4108422446,0.6874119595,-3.602030019,-3.854699265,0.09906594833,3.5,0.1,10
1.684029618,-0.2890379386,0.6523610648,2.649988574,0.3353138091,3.5,0.1,10
1.3471832,0.5357940066,0.5920716075,-1.960499019,0.2806034014,3.5,0.1,10
-4.691821654,-0.6328261077,-2.854153272,-0.9147135628,0.1376261814,3.5,0.1,10
3.534030733,-2.660605141,-4.416972583,-2.18616108,0.1523649712,3.5,0.1,10
-2.064062422,1.619165147,0.5703215234,2.838982091,0.3003152826,3.5,0.1,10
1.643135403,-0.9361313856,3.140203847,-3.330270801,0.1271431,3.5,0.1,10
-4.772879269,-4.099521392,2.223593506,-0.3812276975,0.3838563509,3.5,0.1,10
-3.38728221,0.01044775103,-3.476878973,1.963203751,0.108744197,3.5,0.1,10
-0.5384372443,-1.189787739,-1.984879109,1.302825931,0.2034644791,3.5,0.1,10
-1.381873894,-4.123500807,-3.819940979,4.618976645,0.3174019463,3.5,0.1,10
4.085806907,1.997071338,-2.341300385,4.691763773,0.1318694397,3.5,0.1,10
2.78750904,2.168901892,-0.5063849786,-2.277584382,0.3921885582,3.5,0.1,10
-4.036090378,4.026023965,-0.4422371017,-2.976366352,2.383417626,3.5,0.1,10
-1.940433758,0.7921956894,-3.232272171,3.566142841,0.2854273009,3.5,0.1,10
