drive,azz,delta_theta,theta_value,slice_type
-5,-5,1.291237051,2.2,ax
-5,-4.95,1.495072945,2.2,ax
-5,-4.9,1.775517324,2.2,ax
-5,-4.85,2.18465709,2.2,ax
-5,-4.8,2.835697764,2.2,ax
-5,-4.75,4.029785812,2.2,ax
-5,-4.7,6.922612846,2.2,ax
-5,-4.65,23.95516983,2.2,ax
-5,-4.6,16.72443956,2.2,ax
-5,-4.55,6.250676506,2.2,ax
-5,-4.5,3.866104812,2.2,ax
-5,-4.45,2.811665244,2.2,ax
-5,-4.4,2.218076048,2.2,ax
-5,-4.35,1.838041993,2.2,ax
-5,-4.3,1.574365373,2.2,ax
-5,-4.25,1.38107146,2.2,ax
-5,-4.2,1.233594965,2.2,ax
-5,-4.15,1.117617674,2.2,ax
-5,-4.1,1.024230685,2.2,ax
-5,-4.05,0.9476008584,2.2,ax
-5,-4,0.8837492314,2.2,ax
-5,-3.95,0.8298690957,2.2,ax
-5,-3.9,0.7839240897,2.2,ax
-5,-3.85,0.744401234,2.2,ax
-5,-3.8,0.7101532397,2.2,ax
-5,-3.75,0.6802945314,2.2,ax
-5,-3.7,0.6541308775,2.2,ax
-5,-3.65,0.6311105922,2.2,ax
-5,-3.6,0.6107899175,2.2,ax
-5,-3.55,0.5928080925,2.2,ax
-5,-3.5,0.5768689262,2.2,ax
-5,-3.45,0.5627271699,2.2,ax
-5,-3.4,0.5501781813,2.2,ax
-5,-3.35,0.5390499863,2.2,ax
-5,-3.3,0.5291970907,2.2,ax
-5,-3.25,0.5204958249,2.2,ax
-5,-3.2,0.5128403743,2.2,ax
-5,-3.15,0.5061398623,2.2,ax
-5,-3.1,0.5003158564,2.2,ax
-5,-3.05,0.4953004032,2.2,ax
-5,-3,0.4910344225,2.2,ax
-5,-2.95,0.4874663035,2.2,ax
-5,-2.9,0.4845508681,2.2,ax
-5,-2.85,0.4822483485,2.2,ax
-5,-2.8,0.480523664,2.2,ax
-5,-2.75,0.4793456915,2.2,ax
-5,-2.7,0.478686675,2.2,ax
-5,-2.65,0.4785217228,2.2,ax
-5,-2.6,0.4788283201,2.2,ax
-5,-2.55,0.4795859089,2.2,ax
-5,-2.5,0.480775535,2.2,ax
-5,-2.45,0.4823794238,2.2,ax
-5,-2.4,0.4843806476,2.2,ax
-5,-2.35,0.4867627942,2.2,ax
-5,-2.3,0.4895096104,2.2,ax
-5,-2.25,0.4926046223,2.2,ax
-5,-2.2,0.4960307868,2.2,ax
-5,-2.15,0.4997701426,2.2,ax
-5,-2.1,0.5038033399,2.2,ax
-5,-2.05,0.5081092175,2.2,ax
-5,-2,0.512664365,2.2,ax
-5,-1.95,0.5174425559,2.2,ax
-5,-1.9,0.5224142565,2.2,ax
-5,-1.85,0.5275459911,2.2,ax
-5,-1.8,0.5327997494,2.2,ax
-5,-1.75,0.5381322306,2.2,ax
-5,-1.7,0.5434942512,2.2,ax
-5,-1.65,0.5488299135,2.2,ax
-5,-1.6,0.5540759014,2.2,ax
-5,-1.55,0.5591607252,2.2,ax
-5,-1.5,0.5640039977,2.2,ax
-5,-1.45,0.5685158594,2.2,ax
-5,-1.4,0.5725962918,2.2,ax
-5,-1.35,0.576134881,2.2,ax
-5,-1.3,0.5790106545,2.2,ax
-5,-1.25,0.5810920495,2.2,ax
-5,-1.2,0.5822376252,2.2,ax
-5,-1.15,0.5822968109,2.2,ax
-5,-1.1,0.5811115048,2.2,ax
-5,-1.05,0.5785179415,2.2,ax
-5,-1,0.5743494881,2.2,ax
-5,-0.95,0.568439931,2.2,ax
-5,-0.9,0.560627205,2.2,ax
-5,-0.85,0.5507581022,2.2,ax
-5,-0.8,0.5386929671,2.2,ax
-5,-0.75,0.5243107011,2.2,ax
-5,-0.7,0.5075140646,2.2,ax
-5,-0.65,0.4882342233,2.2,ax
-5,-0.6,0.4664352352,2.2,ax
-5,-0.55,0.4421175054,2.2,ax
-5,-0.5,0.4153211775,2.2,ax
-5,-0.45,0.3861289029,2.2,ax
-5,-0.4,0.3546701551,2.2,ax
-5,-0.35,0.3211294593,2.2,ax
-5,-0.3,0.2857643471,2.2,ax
-5,-0.25,0.2489479875,2.2,ax
-5,-0.2,0.2112704039,2.2,ax
-5,-0.15,0.1737915489,2.2,ax
-5,-0.1,0.1386998708,2.2,ax
-5,-0.05,0.1109213418,2.2,ax
-5,0,0.1000000005,2.2,ax
-5,0.05,0.1140119628,2.2,ax
-5,0.1,0.1486762598,2.2,ax
-5,0.15,0.1958192048,2.2,ax
-5,0.2,0.2512041892,2.2,ax
-5,0.25,0.3135633399,2.2,ax
-5,0.3,0.3831741288,2.2,ax
-5,0.35,0.461338594,2.2,ax
-5,0.4,0.5503593843,2.2,ax
-5,0.45,0.6538356407,2.2,ax
-5,0.5,0.7773308598,2.2,ax
-5,0.55,0.9296818598,2.2,ax
-5,0.6,1.125650101,2.2,ax
-5,0.65,1.391753534,2.2,ax
-5,0.7,1.780772737,2.2,ax
-5,0.75,2.414875893,2.2,ax
-5,0.8,3.655447003,2.2,ax
-5,0.85,7.250312001,2.2,ax
-5,0.9,179.2979416,2.2,ax
