drive,azz,delta_theta,theta_value,slice_type
-5,-5,0.1974614442,5,ay
-5,-4.95,0.1951629915,5,ay
-5,-4.9,0.1928088759,5,ay
-5,-4.85,0.1904096112,5,ay
-5,-4.8,0.1879753588,5,ay
-5,-4.75,0.1855158585,5,ay
-5,-4.7,0.1830403593,5,ay
-5,-4.65,0.1805575901,5,ay
-5,-4.6,0.1780757216,5,ay
-5,-4.55,0.175602332,5,ay
-5,-4.5,0.1731443985,5,ay
-5,-4.45,0.170708295,5,ay
-5,-4.4,0.1682997959,5,ay
-5,-4.35,0.1659240778,5,ay
-5,-4.3,0.1635857317,5,ay
-5,-4.25,0.1612887988,5,ay
-5,-4.2,0.1590367856,5,ay
-5,-4.15,0.1568326877,5,ay
-5,-4.1,0.154679019,5,ay
-5,-4.05,0.1525778536,5,ay
-5,-4,0.1505308438,5,ay
-5,-3.95,0.1485392638,5,ay
-5,-3.9,0.1466040271,5,ay
-5,-3.85,0.1447257432,5,ay
-5,-3.8,0.1429047167,5,ay
-5,-3.75,0.1411409992,5,ay
-5,-3.7,0.1394344078,5,ay
-5,-3.65,0.1377845582,5,ay
-5,-3.6,0.1361908857,5,ay
-5,-3.55,0.1346526652,5,ay
-5,-3.5,0.1331690364,5,ay
-5,-3.45,0.1317390284,5,ay
-5,-3.4,0.1303615648,5,ay
-5,-3.35,0.1290354991,5,ay
-5,-3.3,0.1277596094,5,ay
-5,-3.25,0.1265326309,5,ay
-5,-3.2,0.1253532544,5,ay
-5,-3.15,0.1242201453,5,ay
-5,-3.1,0.1231319435,5,ay
-5,-3.05,0.1220872914,5,ay
-5,-3,0.1210848153,5,ay
-5,-2.95,0.1201231559,5,ay
-5,-2.9,0.1192009566,5,ay
-5,-2.85,0.1183168763,5,ay
-5,-2.8,0.117469595,5,ay
-5,-2.75,0.1166578108,5,ay
-5,-2.7,0.1158802504,5,ay
-5,-2.65,0.1151356626,5,ay
-5,-2.6,0.1144228271,5,ay
-5,-2.55,0.1137405562,5,ay
-5,-2.5,0.1130876825,5,ay
-5,-2.45,0.1124630862,5,ay
-5,-2.4,0.1118656653,5,ay
-5,-2.35,0.1112943576,5,ay
-5,-2.3,0.1107481282,5,ay
-5,-2.25,0.1102259753,5,ay
-5,-2.2,0.1097269285,5,ay
-5,-2.15,0.1092500476,5,ay
-5,-2.1,0.1087944224,5,ay
-5,-2.05,0.1083591726,5,ay
-5,-2,0.1079434446,5,ay
-5,-1.95,0.1075464076,5,ay
-5,-1.9,0.1071672678,5,ay
-5,-1.85,0.1068052487,5,ay
-5,-1.8,0.1064595984,5,ay
-5,-1.75,0.1061295934,5,ay
-5,-1.7,0.1058145261,5,ay
-5,-1.65,0.1055137134,5,ay
-5,-1.6,0.1052264937,5,ay
-5,-1.55,0.1049522231,5,ay
-5,-1.5,0.1046902765,5,ay
-5,-1.45,0.1044400437,5,ay
-5,-1.4,0.104200936,5,ay
-5,-1.35,0.1039723777,5,ay
-5,-1.3,0.1037538077,5,ay
-5,-1.25,0.1035446783,5,ay
-5,-1.2,0.1033444572,5,ay
-5,-1.15,0.1031526222,5,ay
-5,-1.1,0.1029686664,5,ay
-5,-1.05,0.1027920905,5,ay
-5,-1,0.1026224069,5,ay
-5,-0.95,0.1024591393,5,ay
-5,-0.9,0.1023018189,5,ay
-5,-0.85,0.1021499881,5,ay
-5,-0.8,0.1020031948,5,ay
-5,-0.75,0.1018609986,5,ay
-5,-0.7,0.1017229621,5,ay
-5,-0.65,0.1015886582,5,ay
-5,-0.6,0.1014576695,5,ay
-5,-0.55,0.1013295801,5,ay
-5,-0.5,0.1012039843,5,ay
-5,-0.45,0.1010804807,5,ay
-5,-0.4,0.1009586742,5,ay
-5,-0.35,0.1008381783,5,ay
-5,-0.3,0.1007186071,5,ay
-5,-0.25,0.1005995875,5,ay
-5,-0.2,0.1004807503,5,ay
-5,-0.15,0.1003617266,5,ay
-5,-0.1,0.1002421618,5,ay
-5,-0.05,0.1001217013,5,ay
-5,0,0.1000000002,5,ay
-5,0.05,0.09987671856,5,ay
-5,0.1,0.09975152387,5,ay
-5,0.15,0.09962408809,5,ay
-5,0.2,0.0994940945,5,ay
-5,0.25,0.09936122639,5,ay
-5,0.3,0.09922518484,5,ay
-5,0.35,0.09908567058,5,ay
-5,0.4,0.09894239256,5,ay
-5,0.45,0.09879507165,5,ay
-5,0.5,0.09864343642,5,ay
-5,0.55,0.0984872246,5,ay
-5,0.6,0.09832618067,5,ay
-5,0.65,0.09816006393,5,ay
-5,0.7,0.09798863939,5,ay
-5,0.75,0.09781168234,5,ay
-5,0.8,0.09762898322,5,ay
-5,0.85,0.09744033965,5,ay
-5,0.9,0.09724556149,5,ay
-5,0.95,0.09704447193,5,ay
-5,1,0.09683690519,5,ay
-5,1.05,0.09662270828,5,ay
-5,1.1,0.09640174076,5,ay
-5,1.15,0.09617387538,5,ay
-5,1.2,0.09593899937,5,ay
-5,1.25,0.09569701188,5,ay
-5,1.3,0.09544782608,5,ay
-5,1.35,0.09519137038,5,ay
-5,1.4,0.0949275876,5,ay
-5,1.45,0.09465643201,5,ay
-5,1.5,0.09437787657,5,ay
-5,1.55,0.09409190372,5,ay
-5,1.6,0.09379851589,5,ay
-5,1.65,0.09349772565,5,ay
-5,1.7,0.09318956214,5,ay
-5,1.75,0.09287406965,5,ay
-5,1.8,0.09255130429,5,ay
-5,1.85,0.09222133896,5,ay
-5,1.9,0.09188426027,5,ay
-5,1.95,0.09154016677,5,ay
-5,2,0.09118917374,5,ay
-5,2.05,0.0908314058,5,ay
-5,2.1,0.09046700503,5,ay
-5,2.15,0.09009612399,5,ay
-5,2.2,0.08971892775,5,ay
-5,2.25,0.08933559435,5,ay
-5,2.3,0.08894631186,5,ay
-5,2.35,0.08855128048,5,ay
-5,2.4,0.08815071262,5,ay
-5,2.45,0.08774482766,5,ay
-5,2.5,0.08733385936,5,ay
-5,2.55,0.08691804735,5,ay
-5,2.6,0.08649763953,5,ay
-5,2.65,0.08607289544,5,ay
-5,2.7,0.08564408016,5,ay
-5,2.75,0.08521146684,5,ay
-5,2.8,0.08477533463,5,ay
-5,2.85,0.08433596941,5,ay
-5,2.9,0.08389366402,5,ay
-5,2.95,0.08344871438,5,ay
-5,3,0.08300142216,5,ay
-5,3.05,0.08255209333,5,ay
-5,3.1,0.08210103779,5,ay
-5,3.15,0.08164856983,5,ay
-5,3.2,0.0811950036,5,ay
-5,3.25,0.08074065837,5,ay
-5,3.3,0.08028585625,5,ay
-5,3.35,0.07983091846,5,ay
-5,3.4,0.0793761702,5,ay
-5,3.45,0.07892193656,5,ay
-5,3.5,0.07846854412,5,ay
-5,3.55,0.0780163208,5,ay
-5,3.6,0.07756559449,5,ay
-5,3.65,0.07711669327,5,ay
-5,3.7,0.07666994826,5,ay
-5,3.75,0.07622568816,5,ay
-5,3.8,0.07578424405,5,ay
-5,3.85,0.07534594629,5,ay
-5,3.9,0.07491112784,5,ay
-5,3.95,0.07448012239,5,ay
-5,4,0.07405326484,5,ay
-5,4.05,0.07363089206,5,ay
-5,4.1,0.07321334267,5,ay
-5,4.15,0.07280096063,5,ay
