drive,azz,delta_theta,theta_value,slice_type
-5,-5,0.1220549946,4.9,ax
-5,-4.95,0.1234720731,4.9,ax
-5,-4.9,0.1248558927,4.9,ax
-5,-4.85,0.1262034441,4.9,ax
-5,-4.8,0.1275118068,4.9,ax
-5,-4.75,0.1287781676,4.9,ax
-5,-4.7,0.1299998402,4.9,ax
-5,-4.65,0.1311742819,4.9,ax
-5,-4.6,0.1322991128,4.9,ax
-5,-4.55,0.1333721296,4.9,ax
-5,-4.5,0.1343913202,4.9,ax
-5,-4.45,0.1353548769,4.9,ax
-5,-4.4,0.1362612073,4.9,ax
-5,-4.35,0.1371089423,4.9,ax
-5,-4.3,0.1378969431,4.9,ax
-5,-4.25,0.1386243057,4.9,ax
-5,-4.2,0.1392903641,4.9,ax
-5,-4.15,0.1398946893,4.9,ax
-5,-4.1,0.1404370877,4.9,ax
-5,-4.05,0.140917597,4.9,ax
-5,-4,0.1413364809,4.9,ax
-5,-3.95,0.14169422,4.9,ax
-5,-3.9,0.1419915032,4.9,ax
-5,-3.85,0.1422292169,4.9,ax
-5,-3.8,0.1424084317,4.9,ax
-5,-3.75,0.14253039,4.9,ax
-5,-3.7,0.1425964917,4.9,ax
-5,-3.65,0.1426082787,4.9,ax
-5,-3.6,0.1425674206,4.9,ax
-5,-3.55,0.142475698,4.9,ax
-5,-3.5,0.1423349886,4.9,ax
-5,-3.45,0.1421472498,4.9,ax
-5,-3.4,0.1419145053,4.9,ax
-5,-3.35,0.1416388298,4.9,ax
-5,-3.3,0.1413223346,4.9,ax
-5,-3.25,0.1409671543,4.9,ax
-5,-3.2,0.1405754352,4.9,ax
-5,-3.15,0.1401493217,4.9,ax
-5,-3.1,0.1396909469,4.9,ax
-5,-3.05,0.1392024225,4.9,ax
-5,-3,0.1386858285,4.9,ax
-5,-2.95,0.1381432062,4.9,ax
-5,-2.9,0.1375765519,4.9,ax
-5,-2.85,0.1369878079,4.9,ax
-5,-2.8,0.1363788599,4.9,ax
-5,-2.75,0.1357515315,4.9,ax
-5,-2.7,0.1351075796,4.9,ax
-5,-2.65,0.1344486933,4.9,ax
-5,-2.6,0.1337764898,4.9,ax
-5,-2.55,0.1330925137,4.9,ax
-5,-2.5,0.1323982369,4.9,ax
-5,-2.45,0.1316950561,4.9,ax
-5,-2.4,0.1309842946,4.9,ax
-5,-2.35,0.1302672021,4.9,ax
-5,-2.3,0.129544955,4.9,ax
-5,-2.25,0.1288186589,4.9,ax
-5,-2.2,0.1280893491,4.9,ax
-5,-2.15,0.1273579926,4.9,ax
-5,-2.1,0.1266254902,4.9,ax
-5,-2.05,0.1258926781,4.9,ax
-5,-2,0.1251603308,4.9,ax
-5,-1.95,0.1244291628,4.9,ax
-5,-1.9,0.123699832,4.9,ax
-5,-1.85,0.1229729408,4.9,ax
-5,-1.8,0.1222490399,4.9,ax
-5,-1.75,0.1215286298,4.9,ax
-5,-1.7,0.1208121641,4.9,ax
-5,-1.65,0.1201000516,4.9,ax
-5,-1.6,0.1193926587,4.9,ax
-5,-1.55,0.1186903117,4.9,ax
-5,-1.5,0.1179933,4.9,ax
-5,-1.45,0.1173018769,4.9,ax
-5,-1.4,0.1166162634,4.9,ax
-5,-1.35,0.1159366493,4.9,ax
-5,-1.3,0.1152631959,4.9,ax
-5,-1.25,0.1145960369,4.9,ax
-5,-1.2,0.1139352823,4.9,ax
-5,-1.15,0.1132810185,4.9,ax
-5,-1.1,0.1126333105,4.9,ax
-5,-1.05,0.1119922039,4.9,ax
-5,-1,0.1113577265,4.9,ax
-5,-0.95,0.1107298895,4.9,ax
-5,-0.9,0.1101086894,4.9,ax
-5,-0.85,0.1094941089,4.9,ax
-5,-0.8,0.1088861186,4.9,ax
-5,-0.75,0.1082846778,4.9,ax
-5,-0.7,0.1076897365,4.9,ax
-5,-0.65,0.1071012356,4.9,ax
-5,-0.6,0.1065191084,4.9,ax
-5,-0.55,0.1059432818,4.9,ax
-5,-0.5,0.1053736766,4.9,ax
-5,-0.45,0.1048102092,4.9,ax
-5,-0.4,0.1042527917,4.9,ax
-5,-0.35,0.1037013336,4.9,ax
-5,-0.3,0.1031557411,4.9,ax
-5,-0.25,0.1026159192,4.9,ax
-5,-0.2,0.1020817718,4.9,ax
-5,-0.15,0.1015532023,4.9,ax
-5,-0.1,0.1010301142,4.9,ax
-5,-0.05,0.1005124116,4.9,ax
-5,0,0.09999999999,4.9,ax
-5,0.05,0.09949278647,4.9,ax
-5,0.1,0.09899068007,4.9,ax
-5,0.15,0.09849359269,4.9,ax
-5,0.2,0.09800143897,4.9,ax
-5,0.25,0.09751413684,4.9,ax
-5,0.3,0.09703160803,4.9,ax
-5,0.35,0.09655377824,4.9,ax
-5,0.4,0.09608057736,4.9,ax
-5,0.45,0.09561194003,4.9,ax
-5,0.5,0.09514780539,4.9,ax
-5,0.55,0.094688118,4.9,ax
-5,0.6,0.09423282757,4.9,ax
-5,0.65,0.09378188946,4.9,ax
-5,0.7,0.09333526442,4.9,ax
-5,0.75,0.09289291946,4.9,ax
-5,0.8,0.09245482729,4.9,ax
-5,0.85,0.09202096715,4.9,ax
-5,0.9,0.09159132433,4.9,ax
-5,0.95,0.09116589076,4.9,ax
-5,1,0.09074466485,4.9,ax
-5,1.05,0.09032765165,4.9,ax
-5,1.1,0.08991486324,4.9,ax
-5,1.15,0.08950631821,4.9,ax
-5,1.2,0.08910204234,4.9,ax
-5,1.25,0.08870206829,4.9,ax
-5,1.3,0.08830643581,4.9,ax
-5,1.35,0.08791519179,4.9,ax
-5,1.4,0.08752839043,4.9,ax
-5,1.45,0.08714609305,4.9,ax
-5,1.5,0.08676836805,4.9,ax
-5,1.55,0.08639529147,4.9,ax
-5,1.6,0.08602694667,4.9,ax
-5,1.65,0.08566342416,4.9,ax
-5,1.7,0.08530482211,4.9,ax
-5,1.75,0.08495124624,4.9,ax
-5,1.8,0.08460280937,4.9,ax
-5,1.85,0.08425963252,4.9,ax
-5,1.9,0.0839218437,4.9,ax
-5,1.95,0.083589579,4.9,ax
-5,2,0.08326298207,4.9,ax
-5,2.05,0.0829422044,4.9,ax
-5,2.1,0.08262740531,4.9,ax
-5,2.15,0.08231875223,4.9,ax
-5,2.2,0.0820164205,4.9,ax
-5,2.25,0.08172059362,4.9,ax
-5,2.3,0.08143146357,4.9,ax
-5,2.35,0.08114923058,4.9,ax
-5,2.4,0.08087410359,4.9,ax
-5,2.45,0.08060630036,4.9,ax
-5,2.5,0.08034604746,4.9,ax
-5,2.55,0.08009358073,4.9,ax
-5,2.6,0.07984914564,4.9,ax
-5,2.65,0.07961299721,4.9,ax
-5,2.7,0.07938540057,4.9,ax
-5,2.75,0.07916663119,4.9,ax
-5,2.8,0.07895697527,4.9,ax
-5,2.85,0.07875673022,4.9,ax
-5,2.9,0.07856620507,4.9,ax
-5,2.95,0.07838572083,4.9,ax
-5,3,0.07821561114,4.9,ax
-5,3.05,0.07805622311,4.9,ax
-5,3.1,0.07790791731,4.9,ax
-5,3.15,0.0777710691,4.9,ax
-5,3.2,0.07764606925,4.9,ax
-5,3.25,0.07753332429,4.9,ax
-5,3.3,0.07743325807,4.9,ax
-5,3.35,0.07734631229,4.9,ax
-5,3.4,0.07727294775,4.9,ax
