drive,azz,delta_theta,theta_value,slice_type
-5,-5,0.7396969935,1.4,ax
-5,-4.95,0.3976611424,1.4,ax
-5,-4.9,0.2702418974,1.4,ax
-5,-4.85,0.2041741188,1.4,ax
-5,-4.8,0.1640446476,1.4,ax
-5,-4.75,0.1372832573,1.4,ax
-5,-4.7,0.1183037587,1.4,ax
-5,-4.65,0.1042462056,1.4,ax
-5,-4.6,0.09349535979,1.4,ax
-5,-4.55,0.08507053286,1.4,ax
-5,-4.5,0.0783422824,1.4,ax
-5,-4.45,0.07288844633,1.4,ax
-5,-4.4,0.0684156277,1.4,ax
-5,-4.35,0.06471386319,1.4,ax
-5,-4.3,0.06162919234,1.4,ax
-5,-4.25,0.05904638988,1.4,ax
-5,-4.2,0.05687772371,1.4,ax
-5,-4.15,0.0550554205,1.4,ax
-5,-4.1,0.0535264858,1.4,ax
-5,-4.05,0.05224906338,1.4,ax
-5,-4,0.05118982468,1.4,ax
-5,-3.95,0.05032206378,1.4,ax
-5,-3.9,0.04962428507,1.4,ax
-5,-3.85,0.04907914062,1.4,ax
-5,-3.8,0.04867262027,1.4,ax
-5,-3.75,0.04839342649,1.4,ax
-5,-3.7,0.04823248605,1.4,ax
-5,-3.65,0.04818256421,1.4,ax
-5,-3.6,0.04823795622,1.4,ax
-5,-3.55,0.04839423763,1.4,ax
-5,-3.5,0.04864805931,1.4,ax
-5,-3.45,0.04899697693,1.4,ax
-5,-3.4,0.04943930648,1.4,ax
-5,-3.35,0.04997399948,1.4,ax
-5,-3.3,0.05060053305,1.4,ax
-5,-3.25,0.05131881084,1.4,ax
-5,-3.2,0.05212907116,1.4,ax
-5,-3.15,0.05303180031,1.4,ax
-5,-3.1,0.05402764823,1.4,ax
-5,-3.05,0.0551173453,1.4,ax
-5,-3,0.05630161833,1.4,ax
-5,-2.95,0.0575811048,1.4,ax
-5,-2.9,0.05895626444,1.4,ax
-5,-2.85,0.06042728764,1.4,ax
-5,-2.8,0.06199400011,1.4,ax
-5,-2.75,0.06365576446,1.4,ax
-5,-2.7,0.06541137883,1.4,ax
-5,-2.65,0.06725897362,1.4,ax
-5,-2.6,0.06919590821,1.4,ax
-5,-2.55,0.0712186694,1.4,ax
-5,-2.5,0.07332277463,1.4,ax
-5,-2.45,0.07550268313,1.4,ax
-5,-2.4,0.07775171946,1.4,ax
-5,-2.35,0.08006201317,1.4,ax
-5,-2.3,0.0824244604,1.4,ax
-5,-2.25,0.08482871148,1.4,ax
-5,-2.2,0.08726319026,1.4,ax
-5,-2.15,0.08971514913,1.4,ax
-5,-2.1,0.09217076338,1.4,ax
-5,-2.05,0.09461526728,1.4,ax
-5,-2,0.09703313202,1.4,ax
-5,-1.95,0.09940828461,1.4,ax
-5,-1.9,0.1017243633,1.4,ax
-5,-1.85,0.1039650028,1.4,ax
-5,-1.8,0.1061141425,1.4,ax
-5,-1.75,0.1081563438,1.4,ax
-5,-1.7,0.1100771077,1.4,ax
-5,-1.65,0.1118631778,1.4,ax
-5,-1.6,0.1135028152,1.4,ax
-5,-1.55,0.1149860358,1.4,ax
-5,-1.5,0.1163047975,1.4,ax
-5,-1.45,0.117453131,1.4,ax
-5,-1.4,0.1184272094,1.4,ax
-5,-1.35,0.1192253561,1.4,ax
-5,-1.3,0.1198479921,1.4,ax
-5,-1.25,0.1202975288,1.4,ax
-5,-1.2,0.1205782136,1.4,ax
-5,-1.15,0.1206959376,1.4,ax
-5,-1.1,0.120658016,1.4,ax
-5,-1.05,0.1204729513,1.4,ax
-5,-1,0.120150191,1.4,ax
-5,-0.95,0.1196998867,1.4,ax
-5,-0.9,0.119132664,1.4,ax
-5,-0.85,0.1184594099,1.4,ax
-5,-0.8,0.1176910809,1.4,ax
-5,-0.75,0.1168385353,1.4,ax
-5,-0.7,0.1159123917,1.4,ax
-5,-0.65,0.1149229126,1.4,ax
-5,-0.6,0.1138799146,1.4,ax
-5,-0.55,0.1127926998,1.4,ax
-5,-0.5,0.1116700106,1.4,ax
-5,-0.45,0.110520002,1.4,ax
-5,-0.4,0.1093502302,1.4,ax
