drive,azz,delta_theta,theta_value,slice_type
-5,-5,0.1344734754,3,ay
-5,-4.95,0.1395915352,3,ay
-5,-4.9,0.144852462,3,ay
-5,-4.85,0.1502396101,3,ay
-5,-4.8,0.1557328251,3,ay
-5,-4.75,0.1613082813,3,ay
-5,-4.7,0.1669383956,3,ay
-5,-4.65,0.17259185,3,ay
-5,-4.6,0.1782337336,3,ay
-5,-4.55,0.1838258306,3,ay
-5,-4.5,0.1893270639,3,ay
-5,-4.45,0.1946941009,3,ay
-5,-4.4,0.199882123,3,ay
-5,-4.35,0.2048457363,3,ay
-5,-4.3,0.2095400088,3,ay
-5,-4.25,0.2139215851,3,ay
-5,-4.2,0.2179498377,3,ay
-5,-4.15,0.2215879969,3,ay
-5,-4.1,0.224804196,3,ay
-5,-4.05,0.2275723769,3,ay
-5,-4,0.2298730072,3,ay
-5,-3.95,0.2316935581,3,ay
-5,-3.9,0.2330287338,3,ay
-5,-3.85,0.2338804268,3,ay
-5,-3.8,0.2342574271,3,ay
-5,-3.75,0.2341748965,3,ay
-5,-3.7,0.2336536605,3,ay
-5,-3.65,0.2327193537,3,ay
-5,-3.6,0.2314014853,3,ay
-5,-3.55,0.2297324604,3,ay
-5,-3.5,0.2277466194,3,ay
-5,-3.45,0.2254793272,3,ay
-5,-3.4,0.2229661448,3,ay
-5,-3.35,0.2202421079,3,ay
-5,-3.3,0.2173411207,3,ay
-5,-3.25,0.2142954723,3,ay
-5,-3.2,0.2111354703,3,ay
-5,-3.15,0.2078891856,3,ay
-5,-3.1,0.2045822952,3,ay
-5,-3.05,0.2012380099,3,ay
-5,-3,0.1978770726,3,ay
-5,-2.95,0.1945178141,3,ay
-5,-2.9,0.1911762519,3,ay
-5,-2.85,0.1878662181,3,ay
-5,-2.8,0.1845995118,3,ay
-5,-2.75,0.1813860609,3,ay
-5,-2.7,0.1782340917,3,ay
-5,-2.65,0.1751502958,3,ay
-5,-2.6,0.1721399946,3,ay
-5,-2.55,0.1692072961,3,ay
-5,-2.5,0.166355241,3,ay
-5,-2.45,0.1635859396,3,ay
-5,-2.4,0.1609006965,3,ay
-5,-2.35,0.1583001242,3,ay
-5,-2.3,0.1557842454,3,ay
-5,-2.25,0.1533525828,3,ay
-5,-2.2,0.1510042423,3,ay
-5,-2.15,0.1487379817,3,ay
-5,-2.1,0.1465522753,3,ay
-5,-2.05,0.144445367,3,ay
-5,-2,0.1424153176,3,ay
-5,-1.95,0.140460046,3,ay
-5,-1.9,0.1385773637,3,ay
-5,-1.85,0.1367650046,3,ay
-5,-1.8,0.1350206501,3,ay
-5,-1.75,0.1333419504,3,ay
-5,-1.7,0.1317265429,3,ay
-5,-1.65,0.130172066,3,ay
-5,-1.6,0.128676172,3,ay
-5,-1.55,0.1272365372,3,ay
-5,-1.5,0.1258508696,3,ay
-5,-1.45,0.1245169153,3,ay
-5,-1.4,0.1232324642,3,ay
-5,-1.35,0.1219953528,3,ay
-5,-1.3,0.1208034679,3,ay
-5,-1.25,0.1196547482,3,ay
-5,-1.2,0.1185471858,3,ay
-5,-1.15,0.1174788267,3,ay
-5,-1.1,0.1164477716,3,ay
-5,-1.05,0.115452175,3,ay
-5,-1,0.1144902454,3,ay
-5,-0.95,0.1135602445,3,ay
